,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
32,6.35065329956038,6.49947747429037,6.57592696488534,6.49376967955487,7.04719703458789,7.72154886137005,7.75998101867107,7.33695564256678,7.48308478791565,8.29620282646863,8.07629623850269,8.43738769002813,8.78527728405694,8.4416672152732,8.77298427144503,9.34020577741815,9.39079464345989,9.73671329304225,9.64613892792612,9.73114054719409,9.71622881473391,10.4502315028369,10.3917250704225,10.1091986531987,10.0320632682463,9.95019214427344,9.80742110949666,10.0938834951456,9.73652539147456,9.93039326156078,10.2596810179714,10.4433659947573,10.4427645035036,10.3326038879011,10.646925614931,10.6088452088452,10.4599106993188,10.4884273811137,10.902099306876,10.9979225314471,10.6422526131014,10.5740943975027,10.7728117375595,10.8019995111227,10.8678367420597,10.6458916309241,10.5608707088592,10.5527434922492,10.5483556626846,11.3561643368485,..
33,3940187672.6177,4352046417.54224,4673678224.70489,5526324063.38456,6988073608.47267,7580871089.85645,7950566152.48963,8893490782.13733,10260057552.7112,12708206451.6129,15083452380.9524,16329298265.8959,17575562176.1658,18318417857.1428,18510996812.749,21608005653.7102,23249165930.5994,26970695821.727,28263187058.8235,28512241803.2787,30800445342.7065,27797615797.546,29512499200,27800296296.2963,32403564356.4356,35422684033.6134,38150868115.942,41586800000,40698676136.3636,45183289340.1015,47502323113.2076,50232590434.7826,53362526612.9032,62305601444.0433,74954356329.114,86356000000,97590966824.6445,126909971311.475,129734981751.825,146272369668.246,176661393377.483,191391108594.799,194987892449.827,197676591053.545,219530302189.605,221434545923.22,237619590949.331,276481879496.929,282695931759.948,322515067166.498,..
34,2.4661305,2.2,2.4,2.4,2.5610908,2.2,2.4,2.5,2.5,2.6,2.6,2.6,3.0510585,3.1534367,2.7,2.9,3,2.9,2.7,3.3,3.5,3.4,3.3,3.2,3.1,3.1,2.9,2.9,3.7703764,4.29,4.20483802591355,3.96187233885712,3.71890665180068,3.47594096474414,3.22173909614492,3.13,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,3.08,..
35,1530081479.30847,1473118747.848,1705740924.312,2042446592.136,2539604177.45419,2159918521.156,2458944000,3030375000,3427750000,3982706000,4855812000,5031910000,6103856103.345,6842957639,5697000000,6708976000,7427220000,8033000000,7911000000,9669000000,11095000000,9044000000,9372000000,8800000000,10013000000,11036000000,11281000000,11948000000,15760173352,19519500000,19468400059.9797,19056605949.9027,19003612990.7015,20959924017.4072,22681043236.8602,25478200000,28736400000,37268000000,36652000000,40964000000,51128000000,55748000000,55748000000,56364000000,62216000000,64064000000,69300000000,80696000000,82544000000,87472000000,..
36,0.0222818375711024,0.0669392751071186,0.0667418358725711,0.0725614144649886,0.176372738766985,0.4218090897862,0.50881843249826,0.554408598398377,0.532738318116675,1.0739386715163,0.703033188571314,1.36286047684367,1.27941911636569,1.40259048697981,1.45297397596142,1.75264432404318,0.864028831351249,0.88940150664749,0.70241685974779,1.07363759552143,1.18994955605929,0.822195908940818,0.752165028412568,0.65842415475848,0.610875292757009,0.817265279404222,0.83972486346204,0.828527421949591,0.492472621538914,0.655343665688336,1.0043252469389,0.831145610337214,0.810060767779493,0.776053516991596,1.03391900605446,1.14848247589609,1.22194212883779,1.08092391364021,1.66961951090894,0.79325884433509,0.949198537949571,1.4361599583979,1.29329590258639,1.10870098390626,0.883039767825369,0.42702398208197,0.344252564427978,0.435301871558141,0.576782006577425,0.43393867772331,..
37,13824502.3904872,44822500.5125688,47435117.0048163,61751172.3727433,174893035.483815,414124211.555076,521315013.200417,672026382.548592,730437507.969773,1645069996.41538,1312998843.63956,2637612023.85939,2559567501.62772,3043621356.74618,3065775089.27859,4054637485.01446,2139110738.92954,2463642173.41355,2058081399.06103,3145758154.8778,3772140092.70795,2187041117.78258,2136148680.69169,1810666425.58582,1973127195.60514,2909464394.67903,3266529718.86733,3413532978.43231,2058535558.03266,2981813678.88193,4650025893.32712,3997810385.722,4139410523.35321,4679602707.45932,7278789802.62341,9348647353.79421,11400720062.0566,13079179355.0465,19868472179.8164,10550342629.6567,15756695729.9629,25994495247.0021,23408655836.8136,20289228005.4846,17837403310.0725,8882098827.30498,7745682699.62951,11404909034.8233,15457757776.275,12323858447.342,..
38,..,..,..,..,..,13.1,16,15.4,15.1,15.7,14.5,15.8,15.9,15.4,15.9,16.9,15.9,17.1,18.3,20.4,21.5,22.1,23.6,24.4,26.3,27.3,27.3,27.8,26.1,25.8,26.4,26.5,28.3,30.7,33.6,34.7,36.6,37.2,36.5,35.8,36.7,35.4,35.7,34.7,33.9,32.8,31.5,31.8,31.4,29.5,..
39,0.0912143932078697,0.0929338242333557,0.0860932339639481,0.079458883523797,0.100882426954582,0.132015374623621,0.186629289268511,0.160152165131916,0.100231967583622,0.111618829328588,0.112007831539402,0.110654942394945,0.134967024614193,0.0970517174932416,0.0977104154658537,0.0967945980278936,0.0923116971154292,0.0738145721637979,0.100647072312835,0.128424937122776,0.118770041162917,0.101553091817948,0.133056949351628,0.1105041326634,0.0522836673942744,0.0575657023171425,0.0572308028338006,0.0873808292847493,0.187380803633165,0.135442240344121,0.1397742252531,0.0876549880421565,0.0921234551428633,0.0904560882331629,0.134701049613832,0.423136461886474,0.570868081342737,1.01055263695212,1.32431835323215,0.553053934175818,0.873224284038369,0.74438230015274,0.318470434290787,0.39630036845001,0.24208750521424,0.146641708044151,0.193708529507928,0.20800104178253,0.285703478837364,0.421030039328759,..
40,56592890.641319,62228435.8124396,61188646.8661142,67621052.445046,100036059.996613,129610205.784958,191212904.612946,194128446.964653,137428050.753904,170978838.953825,209188066.339618,214156042.764057,270010980.432416,210602226.960334,206168976.632951,223928494.86165,228539761.016553,204466364.89372,294895921.876608,376285065.769733,376501030.486445,270131224.235741,377881736.158623,303886364.824349,168876245.683506,204933900.249027,222627823.023484,360009016.653167,783251759.186631,616262193.565749,647154662.921852,421620492.482773,470750855.780032,545450212.045972,948295389.281376,3444330799.75589,5326199198.92774,12227686907.1206,15759388403.4626,7355617324.53838,14495523115.0369,13473319632.7646,5764314860.66325,7252296742.63518,4890167605.32765,3050147527.31834,4358441913.92838,5449627294.70228,7656853232.84136,11957253116.9367,..
41,0.42554663169764,0.421325489103074,0.40902845054666,0.522036200797041,0.661142699428784,1.39244734027984,1.23122064686048,2.14694090219492,1.91471844333421,1.724158770643,1.34622857344642,1.93180559021665,2.09150343758096,1.93759051442433,1.93334990771359,2.10807110719952,1.39861040614196,1.33248222982232,1.17371218879436,1.57248620219221,1.76351948924657,1.45504826682188,1.40523778430737,1.29857675013934,1.04646865651917,1.29180630612643,1.25045779015916,1.23553851565549,0.985346850402882,1.11566975494268,1.43095708583307,1.19579005069151,1.2196992096046,1.15678941671416,1.3765423269325,1.75069078149775,2.03472028698904,2.34964948706341,3.25042676648424,1.56869704629531,2.14555221091547,2.48134536083677,1.87542810967927,1.74267038872909,1.35187530765946,0.826310494260461,0.796866402606263,0.819525612206879,0.99053852242344,0.983280982766254,..
